ledger_row,finding_id,run_id,severity,finding_code,tickera_event_id,woo_product_id,woo_variation_id,observed_scope,expected_scope,source_risk_code,wordpress_producer,wordpress_evidence_field,wordpress_evidence_state,feed_json_path,phoenix_parser,phoenix_normalizer,finding_emitter,classification,classification_reason,confidence,proposed_phase_5b_action,requires_wordpress_change,requires_phoenix_change,requires_contract_version_change
1,5a5e774a-dc05-45d3-b2e2-d5290c2c93d0,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,100344,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
2,e9d5aefd-cbe2-47a8-a5eb-f6806371c9db,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,100684,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
3,5c470784-324d-4189-8ae6-d6006a232ce5,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,104303,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
4,3bfc264a-fc3e-41d1-87e8-d618677cb634,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,106812,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
5,9b1f4da7-94ff-4919-8303-c67225c309ad,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,106813,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
6,19a247b0-cb00-4106-8f21-5125acadf2d2,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,106814,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
7,f8e3acab-0f51-4608-aa80-1bc4c4a2a92e,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,106815,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
8,384c77a7-40d5-4614-a654-960e61a34579,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,106816,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
9,df8262d7-9765-4af4-8aa9-1b99252156d6,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,107605,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
10,921addea-7157-4276-8f63-e61b32a3a9b2,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,107607,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
11,6619843e-c7d5-40a8-8b89-55d63a0245f8,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,107611,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
12,73b64e32-d81c-4774-a24c-5dbca8aa6c06,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,107926,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
13,f729e4a6-1225-4571-a5a7-aa73a08490bb,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,109740,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
14,62ab2e71-ee3f-47db-86eb-58b534952581,3efd208f-b148-4568-8591-13d968399081,blocking,add_on,,109741,,product,product,add_on,normalize_catalog_row,product_semantics.add_on,unknown,catalog_rows[].product_semantics.add_on,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports add_on as unknown because no reviewed authoritative source is defined,high,Define authoritative add_on evidence states and preserve unknown as blocking,true,true,true
15,762a07f1-e8b1-4f57-8261-da6bec8e1fc3,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,100344,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
16,de329aa8-98c6-444f-a94b-ae04d8440b78,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,100684,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
17,5a22236e-3a33-4a78-af4f-75d797253327,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,104303,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
18,e977ea29-7ca4-439a-8cb7-92379f46115d,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,106812,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
19,1785485f-eb79-4e98-9fb2-eda7869f50f5,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,106813,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
20,2f85b876-2452-45cc-9fec-4f10ca53c8e6,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,106814,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
21,d0a78e79-d4aa-418e-803f-f194815103c4,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,106815,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
22,4f2b367d-b2cd-493f-a768-aa9c6ed5a40b,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,106816,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
23,b6c35462-93c4-461f-ada7-35115742f3da,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,107605,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
24,2414f543-d129-4bf4-b05d-b47a2d1bce45,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,107607,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
25,2b805af6-32d1-47fb-89bc-ffea340d358c,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,107611,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
26,31f324b4-9b4f-4d53-8fb4-94d578ab7ace,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,107926,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
27,9b2753f3-bc86-4175-b1bf-b9bcf1768db7,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,109740,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
